tweet_id,text,created_at,user_verified,has_media,likes,retweets
1,This is tweet number 1,2024-01-01 00:00:00,True,False,8,3
2,This is tweet number 2,2024-01-01 01:00:00,False,True,4,5
3,This is tweet number 3,2024-01-01 02:00:00,True,True,5,2
4,This is tweet number 4,2024-01-01 03:00:00,True,True,10,0
5,This is tweet number 5,2024-01-01 04:00:00,True,True,3,3
6,This is tweet number 6,2024-01-01 05:00:00,False,True,4,6
7,This is tweet number 7,2024-01-01 06:00:00,True,False,7,3
8,This is tweet number 8,2024-01-01 07:00:00,True,True,5,2
9,This is tweet number 9,2024-01-01 08:00:00,True,False,10,2
10,This is tweet number 10,2024-01-01 09:00:00,False,False,4,2
11,This is tweet number 11,2024-01-01 10:00:00,True,True,2,3
12,This is tweet number 12,2024-01-01 11:00:00,True,True,3,7
13,This is tweet number 13,2024-01-01 12:00:00,True,False,5,0
14,This is tweet number 14,2024-01-01 13:00:00,True,True,8,3
15,This is tweet number 15,2024-01-01 14:00:00,False,True,4,3
16,This is tweet number 16,2024-01-01 15:00:00,True,False,3,4
17,This is tweet number 17,2024-01-01 16:00:00,False,False,8,3
18,This is tweet number 18,2024-01-01 17:00:00,False,True,6,3
19,This is tweet number 19,2024-01-01 18:00:00,False,False,8,3
20,This is tweet number 20,2024-01-01 19:00:00,True,True,3,3
21,This is tweet number 21,2024-01-01 20:00:00,False,True,3,7
22,This is tweet number 22,2024-01-01 21:00:00,True,True,5,2
23,This is tweet number 23,2024-01-01 22:00:00,False,False,11,2
24,This is tweet number 24,2024-01-01 23:00:00,False,False,7,3
25,This is tweet number 25,2024-01-02 00:00:00,False,False,4,3
26,This is tweet number 26,2024-01-02 01:00:00,False,False,3,4
27,This is tweet number 27,2024-01-02 02:00:00,False,False,8,2
28,This is tweet number 28,2024-01-02 03:00:00,False,True,8,3
29,This is tweet number 29,2024-01-02 04:00:00,False,True,3,3
30,This is tweet number 30,2024-01-02 05:00:00,False,True,3,3
31,This is tweet number 31,2024-01-02 06:00:00,True,True,6,2
32,This is tweet number 32,2024-01-02 07:00:00,True,False,2,3
33,This is tweet number 33,2024-01-02 08:00:00,False,True,7,1
34,This is tweet number 34,2024-01-02 09:00:00,False,False,5,5
35,This is tweet number 35,2024-01-02 10:00:00,False,True,5,4
36,This is tweet number 36,2024-01-02 11:00:00,True,False,6,3
37,This is tweet number 37,2024-01-02 12:00:00,False,False,1,4
38,This is tweet number 38,2024-01-02 13:00:00,True,True,10,3
39,This is tweet number 39,2024-01-02 14:00:00,True,True,2,3
40,This is tweet number 40,2024-01-02 15:00:00,True,True,5,4
41,This is tweet number 41,2024-01-02 16:00:00,True,True,4,3
42,This is tweet number 42,2024-01-02 17:00:00,True,False,5,4
43,This is tweet number 43,2024-01-02 18:00:00,False,True,4,2
44,This is tweet number 44,2024-01-02 19:00:00,False,True,5,5
45,This is tweet number 45,2024-01-02 20:00:00,False,False,6,4
46,This is tweet number 46,2024-01-02 21:00:00,False,True,1,2
47,This is tweet number 47,2024-01-02 22:00:00,False,True,3,3
48,This is tweet number 48,2024-01-02 23:00:00,True,True,2,4
49,This is tweet number 49,2024-01-03 00:00:00,False,True,5,4
50,This is tweet number 50,2024-01-03 01:00:00,False,True,4,4
51,This is tweet number 51,2024-01-03 02:00:00,True,False,7,5
52,This is tweet number 52,2024-01-03 03:00:00,False,True,7,2
53,This is tweet number 53,2024-01-03 04:00:00,True,True,2,3
54,This is tweet number 54,2024-01-03 05:00:00,False,True,6,3
55,This is tweet number 55,2024-01-03 06:00:00,True,True,7,3
56,This is tweet number 56,2024-01-03 07:00:00,False,True,2,2
57,This is tweet number 57,2024-01-03 08:00:00,False,False,7,3
58,This is tweet number 58,2024-01-03 09:00:00,True,True,5,2
59,This is tweet number 59,2024-01-03 10:00:00,True,False,7,6
60,This is tweet number 60,2024-01-03 11:00:00,True,False,6,4
61,This is tweet number 61,2024-01-03 12:00:00,True,True,5,2
62,This is tweet number 62,2024-01-03 13:00:00,True,True,6,1
63,This is tweet number 63,2024-01-03 14:00:00,True,True,5,4
64,This is tweet number 64,2024-01-03 15:00:00,True,True,4,4
65,This is tweet number 65,2024-01-03 16:00:00,True,False,7,2
66,This is tweet number 66,2024-01-03 17:00:00,False,True,1,6
67,This is tweet number 67,2024-01-03 18:00:00,False,True,8,3
68,This is tweet number 68,2024-01-03 19:00:00,True,True,4,0
69,This is tweet number 69,2024-01-03 20:00:00,False,True,5,3
70,This is tweet number 70,2024-01-03 21:00:00,False,True,3,1
71,This is tweet number 71,2024-01-03 22:00:00,False,True,7,2
72,This is tweet number 72,2024-01-03 23:00:00,False,False,2,3
73,This is tweet number 73,2024-01-04 00:00:00,True,False,5,2
74,This is tweet number 74,2024-01-04 01:00:00,False,True,10,3
75,This is tweet number 75,2024-01-04 02:00:00,True,True,7,3
76,This is tweet number 76,2024-01-04 03:00:00,False,True,7,2
77,This is tweet number 77,2024-01-04 04:00:00,False,False,10,5
78,This is tweet number 78,2024-01-04 05:00:00,False,True,1,1
79,This is tweet number 79,2024-01-04 06:00:00,True,False,5,3
